num_rooms,num_floors,num_bathrooms,size,age,crime_rate,garden_size,median_income,price,loan_prob
6,3,8,5100,63,0.09086774244923534,0,177566,702677.6612877538,0.8668749950748191
1,2,4,2100,35,0.4779814559998875,909,222714,568308.0927200005,0.949869229460627
10,3,2,4500,60,0.91498637770922,1971,23695,386945.0681114539,0.5840876883809655
6,3,4,3900,30,0.6552574705653251,2328,113780,651123.7126471733,0.7496707824093963
17,2,7,7800,40,0.44617168785669736,747,127000,1088179.1415607166,0.7739598133503335
10,1,2,3900,34,0.1437439988751419,1192,224768,821577.2800056243,0.95
6,3,4,3900,16,0.16121753688866358,1432,93062,655277.9123155567,0.7116056978478283
15,3,8,7800,9,0.4628876368320528,2433,169904,1379483.5618158397,0.8528327136000773
6,2,3,3300,11,0.2346591630203093,2193,96452,631520.7041848984,0.7178394995405849
5,1,5,3300,39,0.9689827758140888,2488,146577,596949.0861209296,0.8099389218027633
4,2,2,2400,61,0.9282102875517896,406,205920,426378.94856224104,0.918984985054122
7,2,6,4500,67,0.7423539574499639,2347,66382,449462.2302127502,0.6625341235596182
11,1,2,4200,30,0.04525150341727446,2404,123796,715485.7424829137,0.7680793559483393
11,3,3,5100,39,0.07155017298046717,2693,213699,975830.2491350977,0.9332988747977949
7,1,7,4500,18,0.11599595078944958,2519,217903,1005796.0202460528,0.9410404725106651
2,3,8,3900,35,0.6911160785787596,421,131205,603584.4196071061,0.7816911920111939
14,3,8,7500,71,0.2513008326513897,155,200531,1024455.495836743,0.9090745785026213
8,2,7,5100,50,0.3479574394439858,2633,231145,952540.2128027801,0.95
17,3,6,7800,21,0.8634213407024383,2618,207300,1397822.8932964879,0.9215506870033272
9,3,8,6000,30,0.06639651219514953,2464,57786,819160.0174390243,0.6467643551091168
14,2,6,6600,36,0.3801340032693207,0,94916,865931.3299836534,0.7149980048904564
6,1,6,3900,35,0.6003761321104084,2760,144252,700302.1193394479,0.8056694561655067
19,1,8,8400,7,0.40008315581348974,689,244653,1564975.5842209326,0.95
12,3,6,6300,41,0.47802882104166233,674,153564,938957.8558947917,0.8227790716243427
4,3,6,3900,57,0.6290686191363386,2169,105240,494404.6569043183,0.7339559285741741
8,3,4,4500,43,0.7973780765118008,855,60435,512533.109617441,0.6516221277772177
4,3,4,3300,18,0.4511553659192641,1610,169242,723528.2231704036,0.8516094731027909
3,3,2,2400,19,0.4702219466124329,1282,202566,658240.8902669379,0.9128524616731483
18,3,4,7500,59,0.06144220869098793,2567,58506,873714.7889565451,0.6480662791417817
4,3,7,4200,57,0.4157585352732879,1430,37409,376639.20732363354,0.6092945892167614
14,3,4,6300,35,0.4592546053046851,2641,160051,1041035.7269734766,0.8347054946931777
9,3,8,6000,68,0.5600039723111625,1081,162086,793801.9801384441,0.8384210654842166
7,1,3,3300,59,0.930036262219716,2968,47546,313481.81868890143,0.6279224165870958
14,1,3,5400,15,0.5437799804039546,2443,44569,786709.1000979802,0.6224841188360825
6,3,5,4200,66,0.7769265664684195,1193,170612,589129.3671676579,0.8540915310394722
6,3,3,3600,4,0.5879413541945111,1432,82045,652110.2932290274,0.6913665503811365
18,2,5,7500,33,0.21499108102629783,596,207154,1241113.0445948686,0.9212744960322544
2,3,4,2700,28,0.32550467191040633,2593,221104,729370.476640448,0.9469156978561749
18,2,4,7200,64,0.7224274528253184,110,158737,933161.8627358734,0.8322688840986295
4,1,5,3000,62,0.03645999933900679,2402,103920,359717.700003305,0.7315271923800707
3,3,5,3300,68,0.4826714827673454,2091,29793,208902.64258616327,0.5952895128719551
4,1,3,2400,22,0.01878697345063718,1515,124488,496332.0651327468,0.7693570522883709
10,1,8,5700,10,0.6263427067248081,1134,215332,1152552.286466376,0.9363205496279745
2,2,8,3600,58,0.3733931496817816,998,25076,256225.0342515911,0.5866279942118113
4,2,3,2700,34,0.9630600879809901,661,162476,520966.6995600951,0.8391622199214069
20,1,7,8400,13,0.17123437675216846,1673,25061,1126455.828116239,0.5866338049195464
20,2,4,7800,13,0.08766071140431764,2631,204433,1436357.6964429785,0.916288658200574
17,1,8,7800,58,0.5917920662428782,262,45255,819411.0396687856,0.6237131870394055
15,3,8,7800,47,0.5275912404317301,173,247015,1275582.0437978413,0.95
17,2,7,7800,42,0.876461386322829,0,220951,1241519.6930683858,0.9466234084206325
4,1,6,3300,32,0.12365506022794348,1994,164122,656445.7246988602,0.8421899878066003
10,2,3,4500,70,0.3857237395200803,2700,209506,733083.3813023996,0.9255696146106379
16,1,5,6600,43,0.054445615693591076,2968,108656,949079.771921532,0.7402450827749955
7,3,5,4500,54,0.9356949308290627,2598,55019,498299.5253458547,0.6416601661659506
15,1,8,7200,57,0.6921584549271819,704,136221,941101.2077253641,0.7908935585521747
8,3,7,5400,38,0.2291954845567834,2030,62993,697740.022577216,0.6563278006420036
11,3,3,5100,36,0.6647826924066065,461,164124,821754.086537967,0.8421899273382171
10,3,2,4500,53,0.8270180921646116,1880,186844,745952.909539177,0.8839326242882481
13,2,8,6900,72,0.2501269903300676,1790,215960,1021369.3650483497,0.9374296800965721
13,3,5,6300,78,0.5773994451311755,829,98316,647615.0027743441,0.7212154516509334
14,3,5,6600,48,0.5881699658760795,2116,100386,879311.1501706196,0.7250417919284713
1,3,2,1800,41,0.9923119613088865,1073,121870,299968.44019345555,0.7645302220035574
6,2,3,3300,12,0.830885908695142,1103,92311,582557.5704565243,0.7102274455986289
10,1,3,4200,38,0.5676962933636046,885,247467,874645.518533182,0.95
3,1,5,2700,37,0.9143541515240847,216,47792,263492.22924237954,0.6283907180000977
9,3,5,5100,26,0.3584070170456889,1435,198760,971777.9649147716,0.9058527100457286
6,3,5,4200,7,0.8217775916189008,113,128587,767455.1120419055,0.7769001521065783
16,1,3,6000,32,0.32650544040714424,464,146065,924417.4727979642,0.8090040448310597
13,2,4,5700,33,0.4180772735786864,610,82569,757347.6136321066,0.6923085027541832
7,1,2,3000,22,0.5042666869746023,1943,48564,432896.666565127,0.629821150453735
3,1,7,3300,8,0.2180423057345785,2412,195981,852231.7884713272,0.9007588271418969
8,3,5,4800,79,0.4476148037372031,2689,201765,710961.9259813139,0.9113362875180764
8,3,5,4800,64,0.9360174728990135,149,225242,754273.912635505,0.95
5,3,3,3300,4,0.7816193837719964,2265,109745,692531.90308114,0.7422740775020897
19,2,8,8700,76,0.3656794380268401,1053,116704,1014169.6028098658,0.7550111987134008
10,3,7,6000,5,0.7138118020383857,1499,162625,1121650.9409898082,0.8394577414208851
15,3,2,6000,9,0.9370320393631782,2374,120340,1042214.8398031841,0.7617419519372061
18,2,2,6600,47,0.9472962814971808,2682,169899,1038521.5185925141,0.8527948772842916
12,2,8,6600,38,0.721925058343138,775,176210,1040060.3747082843,0.8644003519200916
20,3,6,8700,59,0.35863995845589547,0,202262,1238730.8002077206,0.9122645210419144
13,3,7,6900,60,0.3471143309416097,2604,124587,922558.428345292,0.7695105794758628
13,3,5,6300,47,0.13833772822890145,180,157809,904326.3113588555,0.8305767364986846
